Name,Genre,ESRB_Rating,Platform,Critic_Score
Shrek: Forever After,Platform,E10,Wii,6.3
X-Men Legends II: Rise of Apocalypse,Role-Playing,T,PSP,8.5
Dynasty Warriors: Strikeforce,Action,T,PS3,6.8
Kagero: Deception II,Strategy,M,PS,9.9
Up,Adventure,E10,X360,6.5
Harvest Moon: Magical Melody,Simulation,E,Wii,6.3
Alvin and the Chipmunks: The Squeakquel,Misc,E,DS,1.3
NBA Live 06,Sports,E,X360,6.5
Kenka Bancho: Badass Rumble,Action,T,PSP,7
FlatOut: Head On,Racing,T,PSP,7.3
Zoo Tycoon 2 DS,Strategy,E,DS,6.9
TouchMaster: Connect,Puzzle,E,DS,9.4
Jeopardy! 2nd Edition,Misc,E,PS,4.2
Wanted: Weapons of Fate,Shooter,M,PS3,6.2
Ratchet & Clank: Size Matters,Platform,E10,PS2,1.1
Just Dance 2017,Music,E10,NS,6.5
NieR,Role-Playing,M,X360,6.4
Ace Combat: Joint Assault,Simulation,T,PSP,7
Atelier Iris 3: Grand Phantasm (US Sales),Role-Playing,T,PS2,6.1
Imagine: Fashion Designer World Tour,Simulation,E,DS,8.1
Sonic Adventure DX: Director's Cut,Platform,E,PC,7.3
Area 51,Shooter,M,XB,8.1
Karaoke Revolution Glee: Volume 3,Misc,T,Wii,8.1
The Godfather: Dons Edition,Action,M,PS3,4.9
Prince of Persia: Rival Swords,Action,T,Wii,7
VA-11 HALL-A,Adventure,M,PC,8.4
The Chronicles of Riddick: Assault on Dark Athena,Shooter,M,X360,8.2
John Deere: Harvest in the Heartland,Simulation,E,DS,6
Mega Man X8,Platform,E,PS2,3.1
Ford Mustang: The Legend Lives,Racing,E,PS2,8.1
Phoenix Wright: Ace Attorney: Spirit of Justice,Adventure,T,3DS,8.1
Trace Memory,Adventure,T,DS,6.5
Sesame Street: Cookie's Counting Carnival,Misc,EC,Wii,3.5
Forsaken 64,Shooter,M,N64,8.3
Jeremy McGrath Supercross 2000,Racing,E,N64,3.2
Ken Griffey Jr.'s Slugfest,Sports,E,N64,6
Supercross 2000,Racing,E,N64,1.9
The New Tetris,Puzzle,E,N64,4
Top Gear Overdrive,Racing,E,N64,3.2
War Gods,Fighting,M,N64,3.6
Xena: Warrior Princess - The Talisman of Fate,Fighting,T,N64,3.7
Duel Masters: Sempai Legends,Misc,E,GBA,7.1
Trauma Center: New Blood,Simulation,T,Wii,7.5
Marvel Super Hero Squad,Adventure,E10,PS2,1.3
Heroes of the Pacific,Simulation,T,PS2,10
The BIGS 2,Sports,E10,Wii,6.3
The Lord of the Rings: The Third Age,Role-Playing,T,GC,7.9
Nicktoons: Battle for Volcano Island,Action,E,GC,7.6
Sonic Boom: Shattered Crystal,Platform,E,3DS,3.8
LEGO Harry Potter: Years 5-7,Action,E10,PSP,1.6
Mah Jong Quest: Expeditions,Puzzle,E,DS,5.5
Madden NFL 08,Sports,E,XB,1.5
Alien: Isolation,Adventure,M,X360,2.6
Pirates of the Caribbean,Role-Playing,T,XB,7.4
RPG Maker,Role-Playing,E,PS,3.3
The Punisher,Shooter,M,XB,7.6
The Legend of Legacy,Role-Playing,E10,3DS,6
Turning Point: Fall of Liberty,Shooter,T,X360,7.2
Majin and the Forsaken Kingdom,Adventure,T,PS3,7
MLB Pennant Race,Sports,E,PS,2.8
Monkey Island 2 Special Edition: LeChuck's Revenge,Adventure,E10,PC,7.3
Disgaea 3: Absence of Detention,Role-Playing,T,PSV,1.4
Cars 3: Driven to Win,Racing,E10,PS4,1.3
The Sims 2,Simulation,T,PC,8.9
MLB Power Pros,Sports,E,Wii,8.5
Shrek Super Party,Misc,E,PS2,2.5
Sakura Wars: So Long  My Love,Role-Playing,T,PS2,8.8
Dynasty Tactics,Strategy,T,PS2,9.9
Skylanders Imaginators,Platform,E10,X360,8
Sengoku Basara: Samurai Heroes,Action,T,Wii,6
Snowboarding,Sports,E,PS,5.7
Warriors Orochi 2,Action,T,PSP,5.3
Puzzle Quest: Challenge of the Warlords,Puzzle,E10,Wii,2.4
Metal Gear Solid V: The Definitive Experience,Action,M,PS4,8.8
Army of Two: The Devil's Cartel,Shooter,M,PS3,9.2
007 Legends,Shooter,T,X360,1.6
Dead Rising: Chop Till You Drop,Action,M,Wii,6.7
Surf's Up,Sports,E10,PS2,3.5
Looney Tunes Racing,Racing,E,PS,6.1
Feel the Magic XY/XX,Puzzle,T,DS,7.7
One Piece Unlimited World: Red,Action-Adventure,T,PS3,9.3
Ever Oasis,Role-Playing,E10,3DS,8.1
Namco Museum Vol.2,Misc,E,PS,1.2
Neopets Puzzle Adventure,Puzzle,E,DS,8
Worms: WMD,Strategy,E10,PC,5.3
Rayman 3: Hoodlum Havoc,Platform,E,PS2,7.4
Psi-Ops: The Mindgate Conspiracy,Shooter,M,PS2,1.5
Tomba! 2: The Evil Swine Return,Platform,E,PS,9.6
Rock Revolution,Misc,T,X360,3.6
NASCAR 08,Racing,E,X360,4.3
Just Cause 4,Action-Adventure,M,XOne,2.9
Dragon Ball Z: Budokai Tenkaichi 2,Fighting,T,Wii,8.7
Purr Pals,Simulation,E,Wii,8.6
Sherlock Holmes: Crimes & Punishments,Adventure,M,PS4,6.1
Sonic Forces,Platform,E10,XOne,5.4
Spyro: A Hero's Tail,Platform,E,GC,6.4
Sesame Street: Elmo's A-to-Zoo Adventure,Misc,EC,DS,3.6
Links 2004,Sports,E,XB,2.9
PGA Tour 97,Sports,E,PS,3.3
Tony Hawk: Shred,Sports,E,PS3,9
Earthworm Jim,Platform,E,GBA,7.2
Tales of Phantasia,Role-Playing,E10,GBA,7
The Golden Compass,Adventure,E10,PS3,4.3
Bratz: Super Babyz,Action,E,DS,5.9
Baby Pals,Simulation,E,DS,2.8
Monster 4x4: Masters of Metal,Racing,E,PS2,8
SingStar Country,Misc,T,PS2,1.6
VMX Racing,Racing,E,PS,1
Disney's Extreme Skate Adventure,Sports,E,GBA,6.6
Harvest Moon DS Cute (US sales),Simulation,E,DS,6.5
Dragon Ball GT: Transformation,Action,E10,GBA,7.7
Tales of Berseria,Role-Playing,T,PC,9.5
Junior Brain Trainer 2,Misc,E,DS,2.2
International Superstar Soccer,Sports,E,SNES,1.8
NBA 2K12,Sports,E,PSP,2
Tigger's Honey Hunt,Platform,E,PS,1.8
The Warriors,Action,M,XB,1.2
Shadow Hearts,Role-Playing,M,PS2,7
Bladestorm: The Hundred Years' War,Action,T,PS3,5.1
Assassin's Creed II: Discovery,Platform,T,DS,7.3
Haven: Call of the King,Platform,T,PS2,9.3
Street Hoops,Sports,T,XB,1.3
Disney Channel: All Star Party,Misc,E,Wii,4.9
Yu-Gi-Oh! Double Pack,Role-Playing,E,GBA,3.6
X-Men: Reign of Apocalypse,Action,E,GBA,6
Star Trek Bridge Crew,Action,E10,PS4,7.3
R: Racing Evolution,Racing,T,PS2,4.5
ATV Quad Power Racing 2,Racing,E,GC,7.1
DeathSmiles,Shooter,T,X360,8
Fantastic 4: Flame On,Action,E10,GBA,5.9
World of Tanks,Shooter,T,PC,7.8
Marvel Nemesis: Rise of the Imperfects,Fighting,T,XB,9.4
All Star Cheer Squad,Sports,E,DS,9.5
Pirates of the Caribbean: Dead Man's Chest,Adventure,T,PSP,4.3
F/A-18F Super Hornet,Simulation,E,GBA,3.1
Final Fantasy VI Advance,Role-Playing,E10,GBA,9.1
WarioWare Gold,Misc,E10,3DS,8.1
Reel Fishing: Angler's Dream,Sports,E,Wii,6.3
Viewtiful Joe,Action,T,PS2,7.9
Triple Play 2000,Sports,E,N64,6
Moshi Monsters: Moshlings Theme Park,Simulation,E,3DS,5.6
How to Train Your Dragon 2,Action-Adventure,E10,3DS,5.5
Bratz Ponyz,Adventure,E,DS,8.1
Guitar Hero: Van Halen,Misc,T,Wii,5
Medieval Moves: Deadmund's Quest,Action,E10,PS3,7
SAW,Action,M,X360,6.2
Shrek the Third,Action,E10,Wii,9.9
Harry Potter and the Sorcerer's Stone,Action,E,PS2,1.8
Kung Zhu,Action,E10,DS,1.6
Unreal Championship 2: The Liandri Conflict,Shooter,M,XB,2.9
Kung Fu Chaos,Fighting,T,XB,7
Ben 10 Ultimate Alien: Cosmic Destruction,Platform,E10,Wii,1.7
Transformers: Dark of the Moon,Action,T,X360,6.5
Godzilla: Domination!,Fighting,E,GBA,4.7
El Shaddai: Ascension of the Metatron,Action,T,PS3,8
Operation Flashpoint: Red River,Shooter,M,X360,7
Jackass the Game,Action,M,PS2,1.1
Mega Man II,Platform,E,GB,3.1
Hannah Montana: Spotlight World Tour,Action,E,PS2,3.4
Rocket Power: Beach Bandits,Platform,E,GBA,8.5
Carol Vorderman's Sudoku,Puzzle,E,PS2,7.4
MX SuperFly featuring Ricky Carmichael,Racing,E,PS2,1.4
Cake Mania 2: Jill's Next Adventure!,Puzzle,E,DS,1.1
Surf's Up,Sports,E,DS,5.5
Batman: The Brave and the Bold the Videogame,Action,E10,Wii,7.5
Syphon Filter: Dark Mirror,Shooter,T,PS2,7.8
Just Dance 2015,Music,E10,PS3,8.5
Conflict: Desert Storm II - Back to Bagdhad,Shooter,T,XB,9.2
Dead to Rights: Retribution,Shooter,M,PS3,6
Mission: Impossible - Operation Surma,Action,T,PS2,4.5
MLB 07: The Show,Sports,E,PSP,8.1
Pitfall: The Mayan Adventure,Platform,E,GBA,1.6
Driver: Parallel Lines,Racing,M,PS2,3.5
Trivial Pursuit,Misc,E,PS3,4.9
The Urbz: Sims In the City (US weekly sales),Simulation,E,DS,6.3
Skylanders Imaginators,Platform,E10,PS3,9.7
Mega Man ZX,Platform,E,DS,8.1
Little Nightmares,Platform,T,PC,8.6
Backyard Wrestling 2: There Goes the Neighborhood,Fighting,M,PS2,8.7
Disney's Treasure Planet,Action,E,GBA,6.3
Dead or Alive,Fighting,T,PS,8.3
Cabela's Big Game Hunter 2012,Sports,T,X360,6.9
Need for Speed: Most Wanted (2012),Racing,E10,WiiU,8.4
Thief,Action,M,X360,9.5
Wild ARMs 5,Role-Playing,T,PS2,7.5
Just Dance 2017,Music,E10,X360,7.9
Tom and Jerry Tales,Platform,E,DS,9.3
Need for Speed: Most Wanted,Racing,T,PC,4
NFL Blitz 20-02,Sports,E,PS2,7.6
Mega Man 7,Platform,E,SNES,7.2
Shrek: Ogres & Dronkeys,Simulation,E,DS,6
NCAA March Madness 2005,Sports,E,XB,1.4
Yu-Gi-Oh! World Championship 2008,Strategy,E,DS,7.9
Angry Birds: Star Wars,Puzzle,E,X360,1.5
Lost Planet 3,Shooter,T,PC,9.5
Guitar Hero: Van Halen,Misc,T,PS3,6.2
The Chronicles of Narnia: The Lion  The Witch and The Wardrobe,Adventure,T,GC,9.5
NBA In The Zone,Sports,E,PS,7.5
Patapon 3,Platform,E,PSP,7.4
Corvette,Racing,E,GBA,4.9
Spintires: MudRunner,Simulation,E,PS4,5.2
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Adventure,E,GC,1.9
Silent Hill 2: Restless Dreams,Action,M,XB,2.8
Monopoly Streets,Misc,E,X360,4.8
Soul Nomad & the World Eaters,Role-Playing,T,PS2,9.5
Bass Strike,Sports,E,PS2,2.7
NHL Hitz 20-03,Sports,E,PS2,8.8
Lego Star Wars: The Force Awakens,Action-Adventure,E10,3DS,4.8
Darksiders,Action,M,PS3,7.8
Pac-Man Fever,Misc,E,GC,5.1
SimCity 4,Simulation,E,PC,8.7
Onechanbara Z2: Chaos,Action,M,PS4,9.7
CSI: Deadly Intent,Adventure,M,Wii,1.8
Real Pool,Sports,E,PS2,5.9
EyePet,Simulation,E,PSP,4.9
Mister Mosquito,Shooter,T,PS2,6.6
Rugby World Cup 2011,Sports,E,X360,4.8
Virtua Fighter 5 Online,Fighting,T,X360,9.2
Wappy Dog,Simulation,E,DS,1.6
Civilization II,Strategy,E,PS,8.2
Secret of Mana,Role-Playing,E10,PS4,8.3
Rory McIlroy PGA Tour,Sports,E,XOne,2.2
The Warriors,Action,M,PSP,8.1
Madagascar,Platform,E10,XB,6.8
Indiana Jones and the Staff of Kings,Action,T,PS2,3.4
ExciteBots: Trick Racing,Racing,E,Wii,7.7
The Binding of Isaac: Afterbirth+,Action,M,NS,9
SimCity 2000,Simulation,E,SAT,3.6
Deer Hunter,Sports,T,PS2,3.6
Avatar: The Last Airbender,Adventure,E10,Wii,1.7
Pokemon Box: Ruby and Sapphire,Misc,E,GC,1.1
Dave Mirra Freestyle BMX 2,Sports,T,GC,2.8
Gundam Versus,Action,T,PS4,7.3
Shin Megami Tensei: Strange Journey,Role-Playing,M,DS,8
Warpath: Jurassic Park,Fighting,T,PS,3.1
Tak and the Guardians of Gross,Action,E10,PS2,9
True Crime: New York City,Action,M,XB,4.6
Ice Age: Dawn of the Dinosaurs,Platform,E10,Wii,7.2
Summer Heat Beach Volleyball,Sports,T,PS2,8.5
NCAA Basketball 09,Sports,E,PS2,6.6
Etrian Mystery Dungeon,Role-Playing,E10,3DS,7.6
Castlevania: Aria of Sorrow,Platform,T,GBA,8.8
Myst III: Exile,Adventure,E,PS2,6.9
Need for Speed: The Run,Racing,E10,Wii,1.2
Mass Effect 3,Role-Playing,M,WiiU,9.2
Dragon Ball: Xenoverse,Fighting,T,X360,6.6
Armored Core: Project Phantasma,Simulation,T,PS,7.2
FIFA 07 Soccer,Sports,E,X360,7.1
Over the Hedge,Platform,E,DS,7.1
Siren: Blood Curse,Action-Adventure,M,PS3,8.3
Hot Wheels: Track Attack,Racing,E,DS,7.4
Cabela's Trophy Bucks,Sports,T,PS2,7
Pro Evolution Soccer 2017,Sports,E,PS3,7.3
Pinkalicious,Misc,E,DS,1.1
Q-Ball: Billiards Master,Sports,E,PS2,8
Tao Feng: Fist of the Lotus,Fighting,M,XB,8
Tomb Raider: Legend (Weekly American and JP sales),Action,T,X360,2.9
Dragon Ball Z: Budokai 2,Fighting,T,GC,6.7
LEGO The Hobbit,Action-Adventure,E10,XOne,9.5
NBA Live 14,Sports,E,PS4,3.6
iCarly 2: iJoin The Click!,Adventure,E,DS,7.7
Motocross Maniacs Advance,Racing,E,GBA,2.5
Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,XOne,7.7
Pro Evolution Soccer 2013,Sports,E,PSP,2.7
Resident Evil 2: Dual Shock Edition,Action,M,PS,9
Dynasty Warriors,Action,T,PS,1.4
M&M's Blast!,Puzzle,E,GBA,3.9
Remington Super Slam Hunting: Africa,Sports,T,Wii,7.6
Tiny Toon Adventures: Plucky's Big Adventure,Action,E,PS,5.6
NHL Hitz 20-02,Sports,E,XB,9.1
Dead Rising 2: Off the Record,Action,M,X360,7.6
Trivial Pursuit,Misc,E,PS2,9.1
Evil Dead: Hail to the King,Adventure,M,PS,9.8
Dragon Ball GT: Final Bout,Fighting,T,PS,8.3
Burstrick: Wake Boarding!!,Sports,E,PS,3.6
Dave Mirra Freestyle BMX: Maximum Remix,Sports,E,PS,2
Family Guy: Back to the Multiverse,Action-Adventure,M,PS3,2.7
Create,Misc,E,Wii,7.9
Bravo Team,Shooter,T,PS4,6.6
Batman: Arkham Origins Blackgate,Action-Adventure,T,3DS,7
Iron Man 2,Action,T,X360,5.1
Etrian Odyssey V: Beyond the Myth,Role-Playing,T,3DS,7.9
Athens 2004,Sports,E,PS2,9.3
Gunship,Simulation,E,PS,7.5
Pro Race Driver,Racing,T,PS2,1.1
Sydney 2000,Sports,E,PS,7.8
Transformers: Cybertron Adventures,Action,T,Wii,3.7
Baten Kaitos: Eternal Wings and the Lost Ocean,Role-Playing,T,GC,8.2
Shadows of the Damned,Action,M,PS3,7.9
Rapala Pro Bass Fishing 2010,Sports,E,PS3,5.2
Angry Birds: Star Wars,Puzzle,E,Wii,5.1
Pac-Pix,Puzzle,E,DS,6.8
Rocky: Legends,Action,T,PS2,7.8
NickToons Racing,Racing,E,GBA,6.5
NASCAR 2011: The Game,Racing,E,PS3,6
Resident Evil: Revelations Collection,Action,M,NS,2.4
Monopoly,Misc,E,DS,8.6
Final Fantasy XI: Ultimate Collection,Role-Playing,T,X360,6.9
Wipeout 2,Misc,E10,X360,6.6
G-Force,Action,E10,PS2,2.6
The Club,Shooter,M,X360,7.5
RalliSport Challenge 2,Racing,E,XB,3.3
NHL 07,Sports,E10,X360,8
NHL 2K11,Sports,E10,Wii,6.3
Over the Hedge,Platform,E,GBA,4.9
Wave Rally,Racing,E,PS2,9.1
Disney's Chicken Little,Platform,E10,GC,7
Brain Age: Concentration Training,Misc,E,3DS,7.5
Ty the Tasmanian Tiger,Platform,E,GC,7.1
WWE Road to WrestleMania X8,Fighting,E,GBA,4
Yu-Gi-Oh! The Sacred Cards (JP weekly sales),Role-Playing,E,GBA,6.2
Fullmetal Alchemist 2: Curse of the Crimson Elixir,Role-Playing,T,PS2,2.2
Tiger Woods PGA Tour 07,Sports,E,PSP,7.6
NASCAR 06: Total Team Control,Racing,E,XB,9.1
BloodRayne 2,Shooter,M,PS2,7.7
Punch-Out!!,Sports,E,VC,3.3
Skylanders SWAP Force,Platform,E10,3DS,7.7
NHL 2002,Sports,E,XB,7.4
Rock Revolution,Misc,T,PS3,2
Command & Conquer,Strategy,T,N64,3
Condemned: Criminal Origins,Action,M,X360,8.2
NBA In The Zone '98,Sports,E,N64,1.8
NBA Jam 99,Sports,E,N64,9.5
Shadow Man,Action,M,N64,8.8
The Conduit,Shooter,T,Wii,6.6
Beyblade: Metal Masters,Action,E,DS,5.8
Gun,Shooter,M,X360,7.5
Shadow of Rome,Action,M,PS2,8.1
Killing Floor 2,Shooter,M,PS4,5
Harry Potter and the Order of the Phoenix,Adventure,E10,PS2,9.5
Robinson: The Journey,Action-Adventure,E,PS4,8.5
Driveclub VR,Racing,E,PS4,8.2
Dragon Ball Z: Tenkaichi Tag Team,Fighting,T,PSP,6
Shenmue I & II,Action-Adventure,T,PS4,4.8
Stuntman: Ignition,Racing,T,PS2,8
Fantastic 4,Action,T,XB,1.5
The Amazing Spider-Man 2 (2014),Action-Adventure,T,PS3,7.5
Mat Hoffman's Pro BMX,Sports,E,GBA,6.6
Dragon Age Origins: Awakening,Role-Playing,M,PS3,8.3
F1 Race Stars,Racing,E,X360,4.1
NFL Street 3,Sports,E,PSP,6.7
MotoGP,Racing,E,PS2,7.3
Ratatouille: Food Frenzy,Puzzle,E,DS,6.1
Sesame Street: Cookie's Counting Carnival,Misc,EC,DS,9
Guitar Hero Live,Music,T,WiiU,4.3
Megamind: The Blue Defender,Adventure,E10,DS,3.1
Wipeout 2,Misc,E,DS,1.7
Despicable Me: The Game,Platform,E10,Wii,7.8
NBA Live 2004,Sports,E,GC,8.4
XGIII: Extreme G Racing,Racing,E,PS2,9.6
NASCAR Thunder 2003,Racing,E,XB,7.9
Superbike 2000,Racing,E,PS,9.8
Just Dance Kids 2,Misc,E,Wii,6
LEGO Jurassic World,Action,E10,PSV,4.9
Connect Four / Perfection / Trouble,Misc,E,GBA,4.4
MotionSports: Adrenaline,Sports,T,X360,2.9
Alundra 2: A New Legend Begins,Role-Playing,T,PS,7.1
Reign of Fire,Shooter,M,PS2,7.2
Scooby-Doo! and the Spooky Swamp,Action,E10,PS2,4.2
Call of Juarez: The Cartel,Shooter,M,X360,5.2
Minecraft: Story Mode - Season Two,Adventure,E10,XOne,1.5
The Sims 2: Pets,Simulation,T,GC,6.9
Littlest Pet Shop: Beach Friends,Simulation,E,DS,3.7
Skylanders Imaginators,Platform,E10,XOne,6.2
The BIGS,Sports,E,X360,5.9
The Bureau: XCOM Declassified,Shooter,M,PS3,8.6
Summer Athletics: The Ultimate Challenge (US sales),Sports,E,Wii,6
Jurassic Park: Operation Genesis,Simulation,T,PS2,5.5
Carnival Games,Party,E10,NS,9.6
Final Doom,Shooter,M,PS,9.7
Puppeteer,Platform,E10,PS3,2.3
NBA ShootOut 2001,Sports,E,PS,3.7
Cabela's Big Game Hunter 2010,Sports,T,X360,8.3
Knockout Kings 2002,Sports,T,XB,7.1
Fate/Extella: The Umbral Star,Action,T,PS4,5
MLB 09: The Show,Sports,E,PSP,8.8
Boogie,Misc,E10,DS,4.3
NBA 07,Sports,E,PS3,3.6
Assassin's Creed: Altair's Chronicles,Action,T,DS,3.4
Plants vs. Zombies,Strategy,E10,X360,8.9
Battle Arena Toshinden 3,Fighting,T,PS,9.5
Reader Rabbit Kindergarten,Misc,E,DS,5.4
Jade Cocoon: Story of the Tamamayu,Role-Playing,T,PS,7.1
Marvel Super Hero Squad: The Infinity Gauntlet,Action,E10,Wii,3.9
InuYasha: Feudal Combat,Fighting,T,PS2,3.7
AC/DC LIVE: Rock Band Track Pack,Misc,T,Wii,2
Suikoden Tierkreis,Role-Playing,E10,DS,7.7
R.U.S.E.,Strategy,T,X360,8
Ratatouille,Platform,E,X360,5.3
Duel Masters,Strategy,E,PS2,6.4
The World Ends with You: Final Remix,Role-Playing,T,NS,7.4
Super Collapse! 3,Puzzle,E,DS,8.1
One Piece: Pirate Warriors 3,Action,T,PS3,5
Section 8,Shooter,T,X360,7.1
The Dog Island,Adventure,E,PS2,6
Need for Speed: Most Wanted,Racing,E,DS,7.3
Battle of Giants: Mutant Insects,Strategy,E10,DS,3.9
Operation Armored Liberty,Action,T,GBA,10
Hatsune Miku: Project Diva F 2nd,Music,T,PS3,5
My Japanese Coach,Misc,E,DS,6.2
Are You Smarter than a 5th Grader? Game Time,Puzzle,E,Wii,4.7
Friday the 13th: The Game,Action,M,XOne,3.2
America's Test Kitchen: Let's Get Cooking,Simulation,E,DS,8.5
And1 Streetball,Sports,E10,PS2,9.9
Atelier Ayesha: The Alchemist of Dusk,Role-Playing,T,PS3,6.7
ESPN NBA Basketball,Sports,E,XB,2.8
Mega Man Legacy Collection,Platform,E,XOne,6.6
All-Pro Football 2K8,Sports,E10,X360,7.5
Lowrider,Misc,T,PS2,7.3
The Adventures of Tintin: The Game,Adventure,E10,PS3,1.2
Total War: Attila,Strategy,T,PC,6
Tropico 4,Strategy,T,PC,7.9
Dungeons & Dragons: Eye of the Beholder,Role-Playing,E,GBA,4.8
Etrian Odyssey: Millennium Girl,Role-Playing,T,3DS,8.1
Fish Tycoon,Simulation,E,DS,9.1
R.U.S.E.,Strategy,T,PC,8
FIFA 18,Sports,E,X360,4.6
The House of the Dead 2,Shooter,M,DC,7.5
Asura's Wrath,Action,T,X360,2.9
The Incredible Hulk,Action,T,PS3,5.6
The Incredible Hulk,Action,T,X360,9.2
Rune: Viking Warlord,Action,M,PS2,5.4
Panzer Dragoon Orta,Shooter,T,XB,8.8
Ninja Gaiden Sigma Plus,Action,M,PSV,7.9
Dead Rising 2: Off the Record,Action,M,PC,6.8
Etrian Odyssey II: Heroes of Lagaard,Role-Playing,E10,DS,8.4
Superman Returns,Action,T,X360,5
King's Field II,Role-Playing,T,PS,7.3
NPPL Championship Paintball 2009,Shooter,E10,PS2,4.9
Petz: Horsez 2,Simulation,E,PS2,8.9
Shin Megami Tensei: Devil Survivor,Role-Playing,T,DS,8.4
Tomba!,Platform,E,PS,8.6
MLB SlugFest 2006,Sports,E10,PS2,6.3
Family Feud: 2010 Edition,Misc,E,DS,1.4
Deadly Premonition,Action,M,X360,6
Angry Birds Trilogy,Puzzle,E,X360,2.2
Rugrats: I Gotta Go Party,Action,E,GBA,8.5
Bolt,Adventure,E10,PS2,4.9
TV Superstars,Misc,E,PS3,6.2
Major League Baseball 2K10,Sports,E,Wii,5
Ford Racing 3,Racing,E,PS2,6
Phantasy Star Universe: Ambition of the Illuminus,Role-Playing,T,PS2,5.8
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,Action,E,GBA,6
Stella Glow,Role-Playing,T,3DS,7.5
Hey Arnold! The Movie,Platform,E,GBA,5.5
Final Fantasy V Advance,Role-Playing,E,GBA,8.2
Need for Speed: Most Wanted,Racing,E,GBA,3.6
Star Trek: Invasion,Simulation,E,PS,2.5
Dynasty Warriors 7: Xtreme Legends,Action,T,PS3,9.7
Assassin's Creed Syndicate,Action,M,PC,5.7
Star Wars: Bounty Hunter,Shooter,T,GC,5.6
Bratz: The Movie,Simulation,E,Wii,9.7
Mega Man Legacy Collection,Platform,E,3DS,2
Sword Art Online: Hollow Realization,Role-Playing,T,PSV,7.1
Tom and Jerry in War of the Whiskers,Fighting,T,PS2,8.8
Scene It? Twilight,Misc,T,Wii,4.6
TouchMaster 3(Others sales),Puzzle,E,DS,6.9
Naruto: Ultimate Ninja Heroes (US sales),Fighting,T,PSP,7
Dora the Explorer: Dora Saves the Crystal Kingdom,Misc,E,Wii,1
Major League Baseball 2K9,Sports,E,Wii,2.8
Asphalt: Injection,Racing,E10,PSV,3.8
Spider-Man: Web of Shadows,Action,T,PS3,6.9
Call of Duty: Modern Warfare 3: Defiance,Shooter,T,DS,4.1
Battlestations: Midway,Strategy,T,X360,10
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,Misc,E,GBA,8.1
Riding Spirits,Racing,E,PS2,1.1
Samurai Warriors 4,Fighting,T,PS3,8.9
Bust A Groove 2,Misc,E,PS,7
Petz: Crazy Monkeyz,Simulation,E,Wii,3.5
Armorines: Project S.W.A.R.M.,Shooter,T,N64,6.2
Chromehounds,Simulation,T,X360,6.4
Duke Nukem: Zero Hour,Shooter,M,N64,9
Nightmare Creatures,Action,M,N64,7.1
Star Wars Episode I: Battle for Naboo,Simulation,T,N64,8.5
NCAA March Madness 08,Sports,E,PS2,4.7
Armored Core: Nexus,Simulation,T,PS2,2.8
Summer Sports 2: Island Sports Party,Sports,E,Wii,6.1
Evolution Skateboarding,Sports,T,PS2,2.3
FIFA 14,Sports,E,3DS,9.9
Dora the Explorer: The Search for Pirate Pig's Treasure,Adventure,E,GBA,2.8
Don King Boxing,Sports,T,Wii,8.1
Imagine: Fashion Party,Simulation,E,Wii,6.6
Babysitting Mania,Simulation,E,DS,5.8
Outlaw Volleyball,Sports,M,XB,2.7
Batman: Vengeance,Adventure,T,GC,7
Tiger Woods PGA Tour 10,Sports,E,PS2,4.2
Army of Two: The Devil's Cartel,Shooter,M,X360,6.4
The Legend of Heroes: Trails of Cold Steel II,Role-Playing,T,PSV,5.8
Dungeons & Dragons Heroes,Role-Playing,T,XB,6
Postal,Shooter,M,PC,4.1
Resident Evil: Revelations,Shooter,M,X360,7.4
McGrath Vs. Pastrana Freestyle Motocross,Racing,E,PS,3
Crash Nitro Kart,Racing,E,GC,6.3
Legaia 2: Duel Saga,Role-Playing,T,PS2,5.6
Metroid Prime Pinball,Misc,E,DS,7.6
Littlest Pet Shop: Friends,Simulation,E,Wii,6.8
Tony Hawk: Shred,Sports,E,X360,9.2
Ben 10 Triple Pack,Misc,E10,DS,6.1
The Penguins of Madagascar,Action,E,DS,6.1
Resident Evil: Deadly Silence,Action,M,DS,6.7
Frogger's Journey: The Forgotten Relic,Action,E,GBA,5
What Did I Do to Deserve This  My Lord!? 2,Role-Playing,T,PSP,7.6
Oddworld: Stranger's Wrath,Action,T,XB,8.8
King of Fighters: Maximum Impact,Fighting,T,PS2,7.6
Marvel Super Heroes vs. Street Fighter,Fighting,T,PS,9.3
Bratz Ponyz 2,Adventure,E,DS,7.2
Rayman DS,Platform,E,DS,5.4
We Cheer 2,Simulation,E10,Wii,1.5
Dynasty Warriors Next,Action,T,PSV,2.4
Drakan: The Ancients' Gates,Adventure,M,PS2,1.7
Tom Clancy's Splinter Cell: Double Agent,Action,M,PS3,8.3
Madden NFL 08,Sports,E,DS,9
SpongeBob SquarePants: Lights  Camera  Pants!,Misc,E,XB,2.2
My Hero One's Justice,Fighting,T,NS,1.9
Tokyo Jungle,Action,T,PS3,3.9
Lemony Snicket's A Series of Unfortunate Events,Platform,E,GC,2.1
Legendary,Shooter,M,X360,4
Sega Rally Revo,Racing,E,PSP,7.3
Bionicle: Matoran Adventures,Platform,E,GBA,4.3
